"AICC","p","q","res_ratio"
41976.5476665947,4,15,1.42834101465567
41971.0125447351,4,16,1.38039694226672
41907.3555781875,4,17,1.43229902665766
41916.8433524912,4,18,1.32649674682388
41886.220623886,4,19,1.48941586742928
41881.1829119416,4,20,1.54801482443565
41859.4132611583,4,21,1.32364852800201
41738.5397234154,4,22,1.37676908339224
41701.3581778126,4,23,1.62365381369162
41555.1640131471,4,24,1.59595795970316
41467.091067763,4,25,1.83877396600636
41575.9848671136,4,26,1.56516065585332
41465.7955282724,4,27,1.86321250045889
41547.8469825791,4,28,1.62093959002459
41448.604041619,4,29,1.8439534878757
41469.56538749,4,30,1.8453168682227
42166.9033383186,5,1,1.44882178622695
42166.5286882209,5,2,1.44737406024664
42145.050424895,5,3,1.46938180052432
42142.0941508908,5,4,1.45687606906023
42145.8084925289,5,5,1.50442559722339
42141.3894765905,5,6,1.46620894050011
42141.593583832,5,7,1.4410663251348
42119.6584993409,5,8,1.34295070327653
42114.2306623473,5,9,1.32924993524055
42106.896218434,5,10,1.36476601528231
42104.4527489098,5,11,1.36597096482909
42001.5597358126,5,12,1.4050212228901
41957.620498423,5,13,1.42296524812608
41959.4220215541,5,14,1.42055556680709
41960.6693159427,5,15,1.42422816210937
41926.9302679917,5,16,1.45178260763399
41895.6504872124,5,17,1.53778053906467
41896.4281876685,5,18,1.52528860487643
41882.1913314598,5,19,1.52187361458346
41830.806911872,5,20,1.46744735473499
41821.3955893615,5,21,1.4139610274477
41708.1777367032,5,22,1.39942460685663
41696.1918404512,5,23,1.80157358092224
41547.1965945353,5,24,1.60273729387524
41581.5158402958,5,25,1.57881196036726
41562.6348066534,5,26,1.55645524353887
41533.8451023326,5,27,1.60495718144865
41465.4189167862,5,28,1.84931377498932
41472.4026171992,5,29,1.84178655153036
41457.9309492146,5,30,1.82429637143335
42308.6228027655,6,1,1.36423466476189
42167.056833446,6,2,1.44855973914519
42124.6100884399,6,3,1.45988820517993
42163.5981919116,6,4,1.44675393817525
42193.7900655087,6,5,1.62095460079337
42093.00080698,6,6,1.47191240708844
42093.3776892402,6,7,1.44657192034742
42094.4193352438,6,8,1.46211171657785
42128.8305666801,6,9,1.47020813448866
42080.5370762747,6,10,1.34556343490842
42106.2233689071,6,11,1.36308129300954
41962.5097630585,6,12,1.42716910889359
41959.6423173608,6,13,1.42284799176417
41953.9401370899,6,14,1.45286892195668
41983.4027115622,6,15,1.33084721790219
41825.3684672786,6,16,1.59214352839056
41896.8589812922,6,17,1.53245051557218
41832.3183705634,6,18,1.48513297581902
41834.3408658222,6,19,1.48686025144275
41787.8029129404,6,20,1.52373648698602
41734.2788213917,6,21,1.44366343021861
41719.4684256585,6,22,1.43742021912478
41602.7656362766,6,23,1.61084066075996
41599.6375901898,6,24,1.61223667958076
41583.8746315494,6,25,1.58042088835912
41583.2962109196,6,26,1.57946430855805
41552.424111166,6,27,1.59943433247417
41470.919689018,6,28,1.84234735447908
41478.3776254574,6,29,1.86476463860596
41472.097767563,6,30,1.85516596168705
42145.8343604688,7,1,1.45152852394114
42068.7204994399,7,2,1.52037877685738
42143.9109888258,7,3,1.4565365779448
42140.8945844003,7,4,1.45416695924375
42096.7110366364,7,5,1.46002395838058
42134.8525572551,7,6,1.44675005740885
42115.2972546259,7,7,1.45234633397285
42096.6853685734,7,8,1.45673487542828
42115.887046157,7,9,1.4516531285488
42106.3559518483,7,10,1.58645713000662
41959.5626470853,7,11,1.44665585113743
41964.1281982278,7,12,1.44770711144337
41955.2542456305,7,13,1.45179266684473
41956.7199856215,7,14,1.45305933825654
41943.431409721,7,15,1.47648423819967
41827.3881206524,7,16,1.59212481691953
41843.7648899776,7,17,1.59976630446185
41834.3491461692,7,18,1.48594910704192
41830.935287236,7,19,1.4996067636311
41788.6902252819,7,20,1.51541159821535
41725.8974380808,7,21,1.48942225131619
41709.6989086945,7,22,1.40032880047988
41692.4911762324,7,23,1.78210446771032
41598.8190324249,7,24,1.61748344663917
41571.2262433948,7,25,1.57611997385965
41585.6759180317,7,26,1.57628705204429
41538.3381982273,7,27,1.59109724049507
41456.6449663539,7,28,1.83392687911008
41463.2861896123,7,29,1.88773030341776
41417.7922956267,7,30,1.86296985050627
42143.1544104337,8,1,1.46255307015898
42149.5859597564,8,2,1.45162619077878
42072.3195970713,8,3,1.51867033265076
42142.7003428646,8,4,1.45519688137173
42083.141462116,8,5,1.47283622389704
42113.4456628825,8,6,1.43659516012884
42004.7660897034,8,7,1.55223186372746
42015.6657217341,8,8,1.30649726192236
42009.6546257477,8,9,1.48435606493392
42000.2937682224,8,10,1.57083452373045
41958.3549294516,8,11,1.44482613000119
41949.5927692522,8,12,1.45899522010443
41959.0559812321,8,13,1.44999697388749
41889.7408899826,8,14,1.47023051784841
41980.0119423516,8,15,1.46753369492823
41827.6531578923,8,16,1.56495882587268
41814.1319989617,8,17,1.57688373052817
41794.8529834653,8,18,1.59817998079813
41763.9382643837,8,19,1.63613056927597
41732.1635858072,8,20,1.63387510744402
41683.7727949307,8,21,1.57056961057894
41619.1017900227,8,22,1.5416969918129
41594.7449622063,8,23,1.62404516807632
41596.6513029598,8,24,1.62127755054418
41451.0063474456,8,25,1.8237389372563
41454.892613221,8,26,1.83721212790334
41555.7450760605,8,27,1.52041078022588
41447.8681188833,8,28,1.83629591550173
41532.8136348131,8,29,1.62856243089488
41537.9585968187,8,30,1.58232867628387
42143.6463334632,9,1,1.46821898846014
42147.1531336465,9,2,1.46196778675667
42110.0940765721,9,3,1.46649192456806
42055.85893977,9,4,1.49972075825707
42093.5132950376,9,5,1.46336577307081
42078.0148546576,9,6,1.33024268401072
42008.9335756899,9,7,1.47072355246223
41988.3213376726,9,8,1.53044377927088
42019.1440429588,9,9,1.51668653410699
41979.2027151027,9,10,1.51969540756072
41927.4395607872,9,11,1.45713259577814
41913.5139790107,9,12,1.47030111071193
41905.072112921,9,13,1.46023489393063
41896.5826582843,9,14,1.769530418891
41894.3186156948,9,15,1.76786830423441
41784.2102659,9,16,1.59612872944712
41963.1136860089,9,17,1.33623372371953
41757.4208901612,9,18,1.62467448357335
41759.4714891344,9,19,1.62568522989266
41725.820544876,9,20,1.64485916558376
41757.0403352142,9,21,1.61228112691199
41604.8568899684,9,22,1.59018190063264
41768.927833007,9,23,1.43865473857171
41598.8293790642,9,24,1.6223647179144
41568.3388268493,9,25,1.54059050398509
41555.0186915159,9,26,1.60624065805094
41570.9133957607,9,27,1.72515619320739
41531.910696386,9,28,1.62182597947047
41547.4334526465,9,29,1.60486734845472
41545.6969288297,9,30,1.59785279435085
42130.5762232945,10,1,1.48845032252106
42136.6841647627,10,2,1.48420628790914
42131.9480549473,10,3,1.45808071827386
42114.7327225571,10,4,1.47337191072139
42106.0497207304,10,5,1.49338436686211
42082.7589074609,10,6,1.58193067670538
42057.0144414827,10,7,1.4631562590584
41994.4780265814,10,8,1.49072610660574
41969.5611688624,10,9,1.50066162058903
41987.9021160771,10,10,1.49609096646
41928.5705546111,10,11,1.46315911273824
41914.9905921256,10,12,1.46798222340839
41922.1065958367,10,13,1.46438834374561
41909.3560902959,10,14,1.46543192952334
41823.5480663186,10,15,1.73651892378229
41760.1396000946,10,16,1.58878940843401
41772.3106927278,10,17,1.58722807057944
41845.5681556622,10,18,1.52053742831179
41906.0302873746,10,19,1.47874410083791
41895.961538249,10,20,1.49286944521745
41664.2351313851,10,21,1.62252065662867
41603.459395661,10,22,1.60924275670109
41543.1859053428,10,23,1.7216847550332
41609.7609198877,10,24,1.50926152449913
41568.2573233488,10,25,1.54123622631557
41571.4559392463,10,26,1.55467200729967
41574.6767181829,10,27,1.54121294675107
