"country","date","year","month","day","wday","avg_hourly_demand","seasonal_avg_hourly_demand","holiday","weighted_temperature"
"FR",2018-07-28,2018,7,28,7,41943.3333333333,-11854.621803653,0,23.4881891765654
"FR",2018-07-29,2018,7,29,1,39738.1666666667,-14059.7884703196,0,24.0168438318756
"FR",2018-07-30,2018,7,30,2,46503.2916666667,-7294.66347031964,0,24.7866051784009
"FR",2018-07-31,2018,7,31,3,47828.0833333333,-5969.87180365297,0,25.4737629065214
"FR",2018-08-01,2018,8,1,4,47663.5416666667,-6134.41347031964,0,25.5638635940096
"FR",2018-08-02,2018,8,2,5,47924.2916666667,-5873.66347031964,0,27.0585836512355
"FR",2018-08-03,2018,8,3,6,47481.5833333333,-6316.37180365297,0,28.302147182954
"FR",2018-08-04,2018,8,4,7,42980.3333333333,-10817.621803653,0,28.0037663758121
"FR",2018-08-05,2018,8,5,1,40385.4166666667,-13412.5384703196,0,26.7612517435312
"FR",2018-08-06,2018,8,6,2,45792.25,-8005.7051369863,0,27.6526579102269
"FR",2018-08-07,2018,8,7,3,45855.7083333333,-7942.24680365297,0,27.8948495736982
"FR",2018-08-08,2018,8,8,4,44347.625,-9450.3301369863,0,24.2342146781525
"FR",2018-08-09,2018,8,9,5,42580.5416666667,-11217.4134703196,0,20.0942115531425
"FR",2018-08-10,2018,8,10,6,41573.625,-12224.3301369863,0,20.1572489569478
"FR",2018-08-11,2018,8,11,7,38346.5,-15451.4551369863,0,21.487996685984
"FR",2018-08-12,2018,8,12,1,37306.625,-16491.3301369863,0,23.4070870822651
"FR",2018-08-13,2018,8,13,2,40946.7916666667,-12851.1634703196,0,21.5235964460747
"FR",2018-08-14,2018,8,14,3,41362.5833333333,-12435.371803653,0,21.4972266837364
"FR",2018-08-15,2018,8,15,4,38377.75,-15420.2051369863,1,21.9332839834914
"FR",2018-08-16,2018,8,16,5,42249.625,-11548.3301369863,0,23.4818466294396
"FR",2018-08-17,2018,8,17,6,41849.4583333333,-11948.496803653,0,21.3700791859697
"FR",2018-08-18,2018,8,18,7,38975.375,-14822.5801369863,0,21.4401719898466
"FR",2018-08-19,2018,8,19,1,37586.3333333333,-16211.621803653,0,23.191056366288
"FR",2018-08-20,2018,8,20,2,43969.375,-9828.5801369863,0,23.3729377338269
"FR",2018-08-21,2018,8,21,3,45409.4583333333,-8388.49680365297,0,24.1950873922572
"FR",2018-08-22,2018,8,22,4,45794.375,-8003.5801369863,0,24.7954627558602
"FR",2018-08-23,2018,8,23,5,45571.5416666667,-8226.41347031964,0,23.0613981395179
