"month","wday","hour","modelfit"
2,"Tue",19,2530.78749999997
2,"Tue",20,1835.33750000008
2,"Tue",21,290.637499999968
2,"Tue",22,-1226.21250000001
2,"Tue",23,-2515.76249999999
2,"Tue",24,-3539.01250000001
2,"Wed",1,-4112.45625
2,"Wed",2,-4444.25625000002
2,"Wed",3,-4409.25624999994
2,"Wed",4,-4090.50624999994
2,"Wed",5,-3278.90624999992
2,"Wed",6,-880.506249999998
2,"Wed",7,868.593749999982
2,"Wed",8,1900.19375000003
2,"Wed",9,2236.49374999983
2,"Wed",10,2108.49374999981
2,"Wed",11,2250.89375000011
2,"Wed",12,2226.54375000012
2,"Wed",13,2261.09375000016
2,"Wed",14,1846.09374999995
2,"Wed",15,1518.99375000008
2,"Wed",16,1567.24375000005
2,"Wed",17,2471.39375000003
2,"Wed",18,2612.59375000008
2,"Wed",19,2493.74374999998
2,"Wed",20,1816.64375000006
2,"Wed",21,282.793749999972
2,"Wed",22,-1232.65625000001
2,"Wed",23,-2502.75624999999
2,"Wed",24,-3510.50625
2,"Thu",1,-4087.84166666667
2,"Thu",2,-4404.24166666669
2,"Thu",3,-4380.0416666666
2,"Thu",4,-4081.49166666661
2,"Thu",5,-3294.74166666659
2,"Thu",6,-937.34166666666
2,"Thu",7,809.208333333304
2,"Thu",8,1856.70833333336
2,"Thu",9,2190.50833333317
2,"Thu",10,2045.80833333314
2,"Thu",11,2232.30833333344
2,"Thu",12,2196.35833333345
2,"Thu",13,2252.65833333348
2,"Thu",14,1855.20833333327
2,"Thu",15,1561.75833333341
2,"Thu",16,1588.55833333338
2,"Thu",17,2490.70833333337
2,"Thu",18,2609.75833333341
2,"Thu",19,2493.7583333333
2,"Thu",20,1838.3583333334
2,"Thu",21,326.808333333303
2,"Thu",22,-1191.89166666669
2,"Thu",23,-2478.29166666665
2,"Thu",24,-3492.59166666667
2,"Fri",1,-4018.95833333334
2,"Fri",2,-4359.90833333336
2,"Fri",3,-4305.85833333329
2,"Fri",4,-3996.20833333329
2,"Fri",5,-3220.40833333326
2,"Fri",6,-857.008333333326
2,"Fri",7,838.891666666645
2,"Fri",8,1893.44166666669
2,"Fri",9,2280.4916666665
2,"Fri",10,2179.29166666647
2,"Fri",11,2399.94166666678
2,"Fri",12,2350.89166666678
2,"Fri",13,2356.29166666682
2,"Fri",14,1900.49166666661
2,"Fri",15,1510.69166666674
2,"Fri",16,1557.19166666671
2,"Fri",17,2461.7916666667
2,"Fri",18,2528.94166666674
2,"Fri",19,2290.44166666664
2,"Fri",20,1599.89166666674
2,"Fri",21,102.191666666637
2,"Fri",22,-1348.70833333334
2,"Fri",23,-2538.60833333332
2,"Fri",24,-3605.20833333334
2,"Sat",1,-1891.53125
2,"Sat",2,-2269.58125000003
2,"Sat",3,-2363.33124999995
2,"Sat",4,-2295.18124999996
2,"Sat",5,-2122.53124999997
2,"Sat",6,-1351.58124999998
2,"Sat",7,-507.13125000004
2,"Sat",8,772.518750000008
2,"Sat",9,1668.76874999987
2,"Sat",10,1973.16874999984
2,"Sat",11,2051.3687500001
2,"Sat",12,1798.3187500001
2,"Sat",13,1580.86875000013
2,"Sat",14,963.268749999952
2,"Sat",15,657.01875000006
2,"Sat",16,835.618750000037
2,"Sat",17,1820.51875000003
2,"Sat",18,2045.81875000006
2,"Sat",19,1753.91874999997
2,"Sat",20,1118.51875000007
2,"Sat",21,-4.78125000002831
2,"Sat",22,-1013.63125000001
2,"Sat",23,-2120.33124999999
2,"Sat",24,-3100.08125
3,"Sun",1,-1578.57954545453
3,"Sun",2,-1910.3522727273
3,"Sun",3,-2048.21568627448
3,"Sun",4,-1985.39772727271
3,"Sun",5,-2005.71590909095
3,"Sun",6,-2046.44318181819
3,"Sun",7,-1403.48863636367
3,"Sun",8,-549.261363636406
3,"Sun",9,197.556818181802
3,"Sun",10,678.511363636311
3,"Sun",11,864.465909090937
3,"Sun",12,951.602272727248
3,"Sun",13,990.238636363665
3,"Sun",14,658.4204545454
3,"Sun",15,272.69318181816
3,"Sun",16,243.602272727272
3,"Sun",17,739.511363636352
3,"Sun",18,1952.37500000001
3,"Sun",19,2527.0113636364
3,"Sun",20,2324.87499999996
3,"Sun",21,1488.14772727276
3,"Sun",22,714.920454545459
3,"Sun",23,-224.215909090906
3,"Sun",24,-1027.21590909091
3,"Mon",1,-4484.1893939394
3,"Mon",2,-5321.31818181815
3,"Mon",3,-5261.04545454559
3,"Mon",4,-4863.18181818177
3,"Mon",5,-3955.63636363634
3,"Mon",6,-1454.95454545455
3,"Mon",7,847.999999999892
3,"Mon",8,2014.5454545454
3,"Mon",9,2311.90909090934
3,"Mon",10,2133.31818181822
3,"Mon",11,2369.09090909102
3,"Mon",12,2425.77272727288
3,"Mon",13,2460.59090909086
3,"Mon",14,2056.50000000013
3,"Mon",15,1739.99999999996
3,"Mon",16,1543.86363636362
