"AICC","p","q","res_ratio"
42792.743668305,1,6,1.0874084331168
42796.5478960822,2,6,1.08836013812544
42783.9719017142,3,6,1.11023782411327
42748.8894722961,4,6,1.13060374916264
42749.1542069803,5,6,1.13495217464491
42780.0166370227,6,6,1.11604702553386
42765.3692930062,7,6,1.09548888094595
42760.6735183762,8,6,1.1038332049588
42771.7836797178,9,6,1.10085127463652
42714.7781307848,10,6,1.16845217466568
42626.9307962728,11,6,1.22043213568173
NA,NA,NA,1
42673.6620338372,13,6,1.26206549988419
NA,NA,NA,1
42673.0283601483,15,6,1.13301353332394
42646.9893321459,16,6,1.26928435138863
42638.9637448636,17,6,1.20386228965852
42640.0210370006,18,6,1.20930018866679
42632.8760064948,19,6,1.32321887928499
42640.9312837122,20,6,1.26763532006139
42625.4106862475,21,6,1.25116993573472
42621.7348282075,22,6,1.24923221540519
42631.9648882287,23,6,1.29120042469637
42577.6784892458,24,6,1.24458862172968
42570.8325042884,25,6,1.23909857533704
42555.5863069904,26,6,1.24556537570938
NA,NA,NA,1
42529.5008088558,28,6,1.26516202805784
NA,NA,NA,1
42519.8965337661,30,6,1.26491075398941
42791.5511891824,1,7,1.0902477083836
42777.9922225556,2,7,1.10208571086077
42774.4050832919,3,7,1.11087633989051
42744.5796379841,4,7,1.1514433559408
42778.7004680575,5,7,1.09534039340556
42769.6355543431,6,7,1.10174980520023
42765.993558503,7,7,1.09416424253475
42748.7421421279,8,7,1.11418558079174
42721.1455576321,9,7,1.1377372619202
42695.7044300873,10,7,1.16507950799657
42676.031676924,11,7,1.18439290859691
42686.685305525,12,7,1.22486789016194
